use_ID,ite_ID,click
1980536,1450952,0
647747,1450952,0
183647,578730,0
723956,28301,0
1781938,28301,0
1652831,1533782,0
416403,1129278,0
43130,1745953,0
502518,1745953,0
109400,1745953,0
488933,1745953,0
1023483,1745953,0
786586,1745953,0
1554927,1745953,0
958173,1745953,0
208174,1745953,0
1004531,1745953,0
1651174,1745953,0
194706,1745953,0
445860,1745953,0
1158774,1745953,0
1622079,1745953,0
1034668,1745953,0
805086,1745953,0
1488584,1745953,0
1073773,1745953,0
250900,1745953,0
1612038,1745953,0
988047,1745953,0
223687,518958,0
1918824,518958,0
1032167,518958,0
951329,1885428,0
828662,1859630,0
1992620,1859630,0
466466,1958136,0
1996918,1958136,0
753366,1958136,0
1027731,1958136,0
505107,1958136,0
326722,1958136,0
1712783,1958136,0
929801,1958136,0
984004,1958136,0
2021274,1958136,0
731178,1958136,0
1101668,1504605,0
1790436,1504605,0
1684716,1256926,0
1891681,1256926,0
1928646,1256926,0
1558451,1256926,0
1496357,1256926,0
1900578,1256926,0
2019999,1256926,0
2012873,1256926,0
1921597,1256926,0
1574549,1256926,0
1877190,1256926,0
1284385,1256926,0
400276,1256926,0
287016,1256926,0
471026,1256926,0
1978207,1256926,0
621310,1170769,0
1492829,1170769,0
320925,10871,0
917743,812889,0
815220,812889,0
596415,812889,0
1284902,812889,0
1336005,812889,0
1303176,812889,0
670789,812889,0
1573708,812889,0
1756009,812889,0
167675,812889,0
65560,812889,0
552380,812889,0
60036,812889,0
950462,812889,0
1894149,812889,0
1469794,812889,0
1619265,812889,0
319336,812889,0
1970078,812889,0
2022679,812889,0
1739804,812889,0
773567,812889,0
1372111,812889,0
531250,812889,0
491711,812889,0
1088893,812889,0
270482,812889,0
139203,812889,0
883257,812889,0
1979801,812889,0
903468,812889,0
1635200,812889,0
1969530,812889,0
818346,812889,0
122332,812889,0
1439780,812889,0
301394,812889,0
2040972,812889,0
211438,812889,0
253022,812889,0
1313399,812889,0
1736952,812889,0
1960186,812889,0
1516187,812889,0
1337858,812889,0
325346,812889,0
1673444,812889,0
304420,812889,0
1329789,812889,0
872311,1244124,0
830681,1244124,0
1018809,1244124,0
731881,1244124,0
1390474,1244124,0
728579,1244124,0
273677,1244124,0
1873082,1244124,0
1999475,1244124,0
1512168,1244124,0
1281603,1071647,0
1480233,2285130,0
884255,2285130,0
1716017,2285130,0
953276,2285130,0
64813,2285130,0
1594054,2285130,0
663814,2285130,0
940567,2285130,0
866126,2285130,0
220183,2285130,0
496408,2285130,0
16530,2285130,0
1839015,2285130,0
376293,2285130,0
770880,2285130,0
1991909,2285130,0
2008584,2285130,0
575323,2285130,0
1398742,1875463,0
678394,1875463,0
1927417,1875463,0
645302,1875463,0
334605,1475926,0
1691492,1960687,0
1768847,1960687,0
104015,1960687,0
1962475,1960687,0
1769565,1960687,0
501080,1960687,0
1330223,742359,0
287473,742359,0
1964257,1932007,0
741252,363970,0
674355,1586041,0
972101,1586041,0
565631,1586041,0
852724,1586041,0
1683056,1586041,0
629271,1586041,0
507533,1586041,0
510343,1586041,0
1938074,1586041,0
1436834,1586041,0
1851562,1586041,0
531900,1586041,0
801699,1586041,0
1706942,1586041,0
1336897,1896429,0
5218,1896429,0
172137,1896429,0
346635,1896429,0
251026,1887193,0
979448,225119,0
1362465,1973958,0
2041485,1973958,0
856158,1017649,0
789125,1017649,0
1141005,1474173,0
580342,1474173,0
402760,1474173,0
56941,665131,0
1883964,670159,0
7532,670159,0
406414,670159,0
961485,670159,0
1941106,670159,0
380199,670159,0
736078,670159,0
298585,670159,0
935668,670159,0
909397,670159,0
1517049,670159,0
2031084,670159,0
463226,670159,0
187442,670159,0
1075215,670159,0
703043,670159,0
191106,670159,0
366038,670159,0
1202328,670159,0
78533,670159,0
862895,670159,0
761506,670159,0
1079913,670159,0
1726427,670159,0
700998,670159,0
1667016,670159,0
1626701,670159,0
634311,670159,0
1332947,670159,0
1382942,670159,0
1294757,670159,0
145485,670159,0
1219343,670159,0
915880,670159,0
1123854,670159,0
1135887,670159,0
1001749,670159,0
1559229,670159,0
815059,670159,0
97785,670159,0
1947965,670159,0
976620,670159,0
169863,670159,0
549047,670159,0
411609,670159,0
1344871,670159,0
1390581,670159,0
178633,670159,0
1610812,670159,0
169381,670159,0
1820622,670159,0
601892,670159,0
1873082,670159,0
1831660,670159,0
557366,670159,0
1756509,670159,0
646722,670159,0
429910,670159,0
951277,670159,0
168425,670159,0
529227,670159,0
1128438,670159,0
1279338,670159,0
493451,670159,0
499092,670159,0
745396,670159,0
46309,670159,0
1618964,670159,0
456372,670159,0
502545,670159,0
520505,670159,0
1576893,670159,0
1863908,670159,0
43428,670159,0
1876436,670159,0
750153,670159,0
1752829,670159,0
1232803,670159,0
1257792,670159,0
1480220,670159,0
1710898,670159,0
1893782,670159,0
573022,670159,0
991115,670159,0
246997,670159,0
773965,670159,0
878079,670159,0
1629572,670159,0
982274,670159,0
1308895,670159,0
659904,670159,0
2000146,670159,0
1095837,670159,0
1159646,670159,0
1549704,670159,0
1175704,670159,0
445163,670159,0
736729,670159,0
1979325,670159,0
1869840,670159,0
1907546,670159,0
766570,670159,0
1943566,670159,0
275315,670159,0
1021120,670159,0
249846,670159,0
1320797,670159,0
1621839,670159,0
205462,670159,0
1506446,670159,0
1714422,670159,0
1323938,670159,0
593142,670159,0
1158041,670159,0
1228881,670159,0
721258,670159,0
637847,670159,0
844473,670159,0
1128698,670159,0
410891,670159,0
79435,670159,0
519381,670159,0
1229970,670159,0
1840225,670159,0
21383,670159,0
294355,670159,0
1431418,670159,0
1206416,670159,0
736840,670159,0
1209638,670159,0
818891,670159,0
